timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537691085208,596,post_logout,200,OK,login_make_delete_logout 1-1,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,596,0,0
1537691085806,100,get_login,200,OK,login_make_delete_logout 1-1,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,100,0,46
1537691085197,1889,delete_product,200,OK,login_make_delete_logout 1-5,text,true,,300,286,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/336,1889,0,40
1537691054301,33025,get_product_list,200,OK,login_make_delete_logout 1-8,text,true,,1072151,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1495,0,41
1537691087087,1296,post_logout,200,OK,login_make_delete_logout 1-5,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,1296,0,0
1537691085908,2477,post_login,200,OK,login_make_delete_logout 1-1,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2477,0,1074
1537691087376,1025,delete_product,200,OK,login_make_delete_logout 1-8,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/5470,1025,0,41
1537691088385,96,get_login,200,OK,login_make_delete_logout 1-5,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,96,0,46
1537691088402,2215,post_logout,200,OK,login_make_delete_logout 1-8,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,2215,0,0
1537691055287,35397,get_product_list,200,OK,login_make_delete_logout 1-2,text,true,,1070894,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,977,0,40
1537691088482,2498,post_login,200,OK,login_make_delete_logout 1-5,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2498,0,1038
1537691090620,380,get_login,200,OK,login_make_delete_logout 1-8,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,380,0,41
1537691088386,2632,get_product_family,200,OK,login_make_delete_logout 1-1,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,2632,0,1043
1537691090743,1703,delete_product,200,OK,login_make_delete_logout 1-2,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/7444,1703,0,44
1537691092448,1683,post_logout,200,OK,login_make_delete_logout 1-2,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,1683,0,0
1537691090981,3262,get_product_family,200,OK,login_make_delete_logout 1-5,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,3262,0,1043
1537691094133,1110,get_login,200,OK,login_make_delete_logout 1-2,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,1110,0,1049
1537691091001,4250,post_login,200,OK,login_make_delete_logout 1-8,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,4250,0,1037
1537691095245,1896,post_login,200,OK,login_make_delete_logout 1-2,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1896,0,47
1537691095252,1924,get_product_family,200,OK,login_make_delete_logout 1-8,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1924,0,1055
1537691049738,50880,get_product_list,Non HTTP response code: org.apache.http.ConnectionClosedException,Non HTTP response message: Premature end of Content-Length delimited message body (expected: 1073987; received: 912307,login_make_delete_logout 1-7,text,false,,1331,0,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,2814,0,40
1537691097143,5110,get_product_family,200,OK,login_make_delete_logout 1-2,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,5110,0,0
1537691100621,2673,delete_product,400,Bad Request,login_make_delete_logout 1-7,text,false,,570,301,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/INvalid_product_id,2673,0,1054
1537691103295,2733,post_logout,200,OK,login_make_delete_logout 1-7,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,2732,0,1039
1537691106030,3176,get_login,200,OK,login_make_delete_logout 1-7,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,3175,0,3041
1537691109208,784,post_login,200,OK,login_make_delete_logout 1-7,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,784,0,41
1537691065593,44431,get_product_list,200,OK,login_make_delete_logout 1-4,text,true,,1065793,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,2299,0,44
1537691109993,1648,get_product_family,200,OK,login_make_delete_logout 1-7,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1648,0,0
1537691110061,1742,delete_product,200,OK,login_make_delete_logout 1-4,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/5117,1742,0,1038
1537691111804,1085,post_logout,200,OK,login_make_delete_logout 1-4,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,1085,0,0
1537691112891,1476,get_login,200,OK,login_make_delete_logout 1-4,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,1476,0,1054
1537691076230,38370,make_product,200,OK,login_make_delete_logout 1-3,text,true,,1059794,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,1217,0,0
1537691114369,2181,post_login,200,OK,login_make_delete_logout 1-4,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2181,0,40
1537691075226,41469,get_product_list,200,OK,login_make_delete_logout 1-6,text,true,,1060488,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1520,0,42
